imo,mmsi,name,country,type,build,gross,netto,length,beam
9313905,219216000,MAERSK BOSTON,Denmark,Container Ship,2006,48788,53701,294,32
9313917,219196000,MAERSK BALTIMORE,Denmark,Container Ship,2006,48788,53700,294,32
9313929,219204000,MAERSK BENTONVILLE,Denmark,Container Ship,2006,48788,53702,294,32
9313931,219215000,MAERSK BROOKLYN,Denmark,Container Ship,2007,48788,61669,294,32
9456991,219126000,RHINE MAERSK,Denmark,Container Ship,2012,50885,61983,249,37
9457000,636091884,RHONE MAERSK,Denmark,Container Ship,2012,50855,61962,249,37
9687186,219471000,NORD PENGUIN,Denmark,Bulk Carrier,2015,43810,81841,229,32
9775749,219053000,VOLGA MAERSK,Denmark,Container Ship,2018,34882,40079,200,35
9775763,219115000,VENTA MAERSK,Denmark,Container Ship,2018,34882,39964,200,35
9775775,219133000,VUOKSI MAERSK,Denmark,Container Ship,2018,34882,39819,200,35
9778533,219136000,VILNIA MAERSK,Denmark,Container Ship,2019,34882,39947,200,35
9855422,548986000,CANADIAN BULKER,Denmark,Bulk Carrier,2019,25189,39541,180,30
9860142,219358000,FLANDRIA SEAWAYS,Denmark,Ro-Ro Cargo Ship,2020,60465,17183,237,33
9864681,219027776,SCANDIA SEAWAYS,Denmark,Ro-Ro Cargo Ship,2021,60465,17183,237,33
9881419,0,ARPAARTI ARCTICA,Denmark,General Cargo Ship,2022,498,477,38,11
9881421,0,TILIOQ ARCTICA,Denmark,General Cargo Ship,2022,498,477,36,10
9885166,219027758,NIMTOFTE MAERSK,Denmark,Container Ship,2021,26255,27550,172,32
9944546,219543000,LAURA MAERSK,Denmark,Container Ship,2023,27958,32614,172,32
9950117,219032189,CAPE SCOTT,Denmark,Container Ship,2023,26914,34230,189,33
9950129,219032229,CAPE SPENCER,Denmark,Container Ship,2023,26914,34960,189,33
9969857,219032707,CAPE SKAGEN,Denmark,Container Ship,2023,26914,34965,188,32
